"GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"GO:0001941","postsynaptic membrane organization",29,29,28.82,"0.99992"
"GO:0035872","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",12,12,11.93,"0.99993"
"GO:2000374","regulation of oxygen metabolic process",2,2,1.99,"0.99993"
"GO:1901475","pyruvate transmembrane transport",3,3,2.98,"0.99993"
"GO:0010557","positive regulation of macromolecule biosynthetic process",1313,1306,1304.92,"0.99994"
"GO:0036376","sodium ion export across plasma membrane",8,8,7.95,"0.99994"
"GO:0014013","regulation of gliogenesis",97,97,96.4,"0.99994"
"GO:1903892","negative regulation of ATF6-mediated unfolded protein response",2,2,1.99,"0.99994"
"GO:0006620","posttranslational protein targeting to endoplasmic reticulum membrane",12,12,11.93,"0.99995"
"GO:0071816","tail-anchored membrane protein insertion into ER membrane",5,5,4.97,"0.99995"
"GO:0002228","natural killer cell mediated immunity",46,46,45.72,"0.99995"
"GO:0010155","regulation of proton transport",21,21,20.87,"0.99995"
"GO:0038161","prolactin signaling pathway",2,2,1.99,"0.99996"
"GO:0006294","nucleotide-excision repair, preincision complex assembly",1,1,0.99,"0.99998"
"GO:0061725","cytosolic lipolysis",1,1,0.99,"0.99999"
"GO:1904685","positive regulation of metalloendopeptidase activity",2,2,1.99,"0.99999"
"GO:0070126","mitochondrial translational termination",3,3,2.98,"0.99999"
"GO:0090389","phagosome-lysosome fusion involved in apoptotic cell clearance",1,1,0.99,"0.99999"
"GO:1903646","positive regulation of chaperone-mediated protein folding",1,1,0.99,"0.99999"
"GO:0006154","adenosine catabolic process",2,2,1.99,"0.99999"
"GO:0019082","viral protein processing",2,2,1.99,"0.99999"
"GO:0050908","detection of light stimulus involved in visual perception",8,8,7.95,"1.00000"
"GO:0006117","acetaldehyde metabolic process",1,1,0.99,"1.00000"
"GO:0051103","DNA ligation involved in DNA repair",4,4,3.98,"1.00000"
"GO:0048682","sprouting of injured axon",5,5,4.97,"1.00000"
"GO:0035813","regulation of renal sodium excretion",8,8,7.95,"1.00000"
"GO:0048686","regulation of sprouting of injured axon",4,4,3.98,"1.00000"
"GO:0048687","positive regulation of sprouting of injured axon",3,3,2.98,"1.00000"
"GO:0048688","negative regulation of sprouting of injured axon",2,2,1.99,"1.00000"
"GO:0048689","formation of growth cone in injured axon",1,1,0.99,"1.00000"
"GO:0018904","ether metabolic process",20,20,19.88,"1.00000"
"GO:0048670","regulation of collateral sprouting",14,13,13.91,"1.00000"
"GO:0048674","collateral sprouting of injured axon",2,2,1.99,"1.00000"
"GO:0014004","microglia differentiation",6,6,5.96,"1.00000"
"GO:0014006","regulation of microglia differentiation",1,1,0.99,"1.00000"
"GO:0043974","histone H3-K27 acetylation",3,3,2.98,"1.00000"
"GO:1903195","regulation of L-dopa biosynthetic process",1,1,0.99,"1.00000"
"GO:1903198","regulation of L-dopa decarboxylase activity",1,1,0.99,"1.00000"
"GO:0048640","negative regulation of developmental growth",85,84,84.48,"1.00000"
"GO:0043946","positive regulation of catalytic activity in other organism involved in symbiotic interaction",1,1,0.99,"1.00000"
"GO:0048631","regulation of skeletal muscle tissue growth",5,5,4.97,"1.00000"
"GO:0008291","acetylcholine metabolic process",2,2,1.99,"1.00000"
"GO:1903165","response to polycyclic arene",1,1,0.99,"1.00000"
"GO:0048636","positive regulation of muscle organ development",52,52,51.68,"1.00000"
"GO:1903166","cellular response to polycyclic arene",1,1,0.99,"1.00000"
"GO:1903167","regulation of pyrroline-5-carboxylate reductase activity",1,1,0.99,"1.00000"
"GO:0043933","protein-containing complex subunit organization",1293,1284,1285.04,"1.00000"
"GO:1903182","regulation of SUMO transferase activity",1,1,0.99,"1.00000"
"GO:1903184","L-dopa metabolic process",1,1,0.99,"1.00000"
"GO:1903185","L-dopa biosynthetic process",1,1,0.99,"1.00000"
"GO:1903189","glyoxal metabolic process",1,1,0.99,"1.00000"
"GO:0150200","regulation of transport across blood-brain barrier",1,1,0.99,"1.00000"
"GO:0150201","positive regulation of transport across blood-brain barrier",1,1,0.99,"1.00000"
"GO:0035592","establishment of protein localization to extracellular region",324,323,322.01,"1.00000"
"GO:0150202","negative regulation of transport across blood-brain barrier",1,1,0.99,"1.00000"
"GO:1903173","fatty alcohol metabolic process",2,2,1.99,"1.00000"
"GO:1903176","regulation of tyrosine 3-monooxygenase activity",1,1,0.99,"1.00000"
"GO:0043900","regulation of multi-organism process",55,55,54.66,"1.00000"
"GO:1903179","regulation of dopamine biosynthetic process",3,3,2.98,"1.00000"
"GO:0043901","negative regulation of multi-organism process",17,17,16.9,"1.00000"
"GO:0043902","positive regulation of multi-organism process",30,30,29.82,"1.00000"
"GO:0043903","regulation of symbiotic process",182,180,180.88,"1.00000"
"GO:1903121","regulation of TRAIL-activated apoptotic signaling pathway",4,4,3.98,"1.00000"
"GO:1903123","regulation of thioredoxin peroxidase activity",1,1,0.99,"1.00000"
"GO:1903124","negative regulation of thioredoxin peroxidase activity",1,1,0.99,"1.00000"
"GO:1903115","regulation of actin filament-based movement",26,26,25.84,"1.00000"
"GO:1903116","positive regulation of actin filament-based movement",4,4,3.98,"1.00000"
"GO:1903119","protein localization to actin cytoskeleton",1,1,0.99,"1.00000"
"GO:0035561","regulation of chromatin binding",20,20,19.88,"1.00000"
"GO:0035568","N-terminal peptidyl-proline methylation",1,1,0.99,"1.00000"
"GO:1903131","mononuclear cell differentiation",21,21,20.87,"1.00000"
"GO:0008212","mineralocorticoid metabolic process",5,5,4.97,"1.00000"
"GO:0008213","protein alkylation",154,154,153.05,"1.00000"
"GO:0008214","protein dealkylation",28,27,27.83,"1.00000"
"GO:0008215","spermine metabolic process",6,6,5.96,"1.00000"
"GO:0008216","spermidine metabolic process",7,7,6.96,"1.00000"
"GO:0035588","G protein-coupled purinergic receptor signaling pathway",8,8,7.95,"1.00000"
"GO:0035570","N-terminal peptidyl-serine methylation",1,1,0.99,"1.00000"
"GO:0035521","monoubiquitinated histone deubiquitination",4,4,3.98,"1.00000"
"GO:0035510","DNA dealkylation",19,19,18.88,"1.00000"
"GO:2000053","regulation of Wnt signaling pathway involved in dorsal/ventral axis specification",1,1,0.99,"1.00000"
"GO:1905097","regulation of guanyl-nucleotide exchange factor activity",11,11,10.93,"1.00000"
"GO:1905099","positive regulation of guanyl-nucleotide exchange factor activity",1,1,0.99,"1.00000"
"GO:0045827","negative regulation of isoprenoid metabolic process",1,1,0.99,"1.00000"
"GO:0045828","positive regulation of isoprenoid metabolic process",1,1,0.99,"1.00000"
"GO:0008204","ergosterol metabolic process",1,1,0.99,"1.00000"
"GO:1903294","regulation of glutamate secretion, neurotransmission",4,4,3.98,"1.00000"
"GO:1903297","regulation of hypoxia-induced intrinsic apoptotic signaling pathway",4,4,3.98,"1.00000"
"GO:1903299","regulation of hexokinase activity",9,9,8.94,"1.00000"
"GO:2000079","regulation of canonical Wnt signaling pathway involved in controlling type B pancreatic cell proliferation",1,1,0.99,"1.00000"
"GO:2000026","regulation of multicellular organismal development",1473,1464,1463.94,"1.00000"
"GO:2000027","regulation of animal organ morphogenesis",120,120,119.26,"1.00000"
"GO:1905063","regulation of vascular associated smooth muscle cell differentiation",11,11,10.93,"1.00000"
"GO:2000015","regulation of determination of dorsal identity",5,5,4.97,"1.00000"
"GO:1905066","regulation of canonical Wnt signaling pathway involved in heart development",1,1,0.99,"1.00000"
"GO:1905068","positive regulation of canonical Wnt signaling pathway involved in heart development",1,1,0.99,"1.00000"
"GO:2000019","negative regulation of male gonad development",1,1,0.99,"1.00000"
"GO:1905051","regulation of base-excision repair",2,2,1.99,"1.00000"
"GO:2000043","regulation of cardiac cell fate specification",1,1,0.99,"1.00000"
"GO:0035504","regulation of myosin light chain kinase activity",1,1,0.99,"1.00000"
"GO:2000044","negative regulation of cardiac cell fate specification",1,1,0.99,"1.00000"
"GO:2000047","regulation of cell-cell adhesion mediated by cadherin",12,12,11.93,"1.00000"
"GO:1905089","regulation of parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization",1,1,0.99,"1.00000"
"GO:1905071","tight junction disassembly",1,1,0.99,"1.00000"
"GO:1903282","regulation of glutathione peroxidase activity",1,0,0.99,"1.00000"
"GO:1905073","regulation of tight junction disassembly",1,1,0.99,"1.00000"
"GO:0035691","macrophage migration inhibitory factor signaling pathway",3,3,2.98,"1.00000"
"GO:1905021","regulation of threonine-tRNA ligase activity",1,1,0.99,"1.00000"
"GO:1905024","regulation of membrane repolarization during ventricular cardiac muscle cell action potential",2,2,1.99,"1.00000"
"GO:1903276","regulation of sodium ion export across plasma membrane",4,4,3.98,"1.00000"
"GO:0035697","CD8-positive, alpha-beta T cell extravasation",4,4,3.98,"1.00000"
"GO:0035698","CD8-positive, alpha-beta cytotoxic T cell extravasation",2,2,1.99,"1.00000"
"GO:1903279","regulation of calcium:sodium antiporter activity",2,2,1.99,"1.00000"
"GO:0034090","maintenance of meiotic sister chromatid cohesion",1,1,0.99,"1.00000"
"GO:0034091","regulation of maintenance of sister chromatid cohesion",9,9,8.94,"1.00000"
"GO:0034092","negative regulation of maintenance of sister chromatid cohesion",3,3,2.98,"1.00000"
"GO:0034093","positive regulation of maintenance of sister chromatid cohesion",6,6,5.96,"1.00000"
"GO:1903224","regulation of endodermal cell differentiation",4,4,3.98,"1.00000"
"GO:0034094","regulation of maintenance of meiotic sister chromatid cohesion",1,1,0.99,"1.00000"
"GO:1905015","regulation of isoleucine-tRNA ligase activity",1,1,0.99,"1.00000"
"GO:0034096","positive regulation of maintenance of meiotic sister chromatid cohesion",1,1,0.99,"1.00000"
"GO:1905018","regulation of methionine-tRNA ligase activity",1,1,0.99,"1.00000"
"GO:1903210","glomerular visceral epithelial cell apoptotic process",1,1,0.99,"1.00000"
"GO:1905041","regulation of epithelium regeneration",2,2,1.99,"1.00000"
"GO:1905044","regulation of Schwann cell proliferation involved in axon regeneration",1,1,0.99,"1.00000"
"GO:1903216","regulation of protein processing involved in protein targeting to mitochondrion",1,1,0.99,"1.00000"
"GO:1905031","regulation of membrane repolarization during cardiac muscle cell action potential",3,3,2.98,"1.00000"
"GO:1903242","regulation of cardiac muscle hypertrophy in response to stress",6,6,5.96,"1.00000"
"GO:1905032","negative regulation of membrane repolarization during cardiac muscle cell action potential",1,1,0.99,"1.00000"
"GO:0035664","TIRAP-dependent toll-like receptor signaling pathway",1,1,0.99,"1.00000"
"GO:1905034","regulation of antifungal innate immune response",1,1,0.99,"1.00000"
"GO:1903248","regulation of citrulline biosynthetic process",1,1,0.99,"1.00000"
"GO:0035668","TRAM-dependent toll-like receptor signaling pathway",3,3,2.98,"1.00000"
"GO:1905038","regulation of membrane lipid metabolic process",12,12,11.93,"1.00000"
"GO:1905039","carboxylic acid transmembrane transport",85,83,84.48,"1.00000"
"GO:1903236","regulation of leukocyte tethering or rolling",10,10,9.94,"1.00000"
"GO:0035684","helper T cell extravasation",3,3,2.98,"1.00000"
"GO:0035687","T-helper 1 cell extravasation",1,1,0.99,"1.00000"
"GO:0035672","oligopeptide transmembrane transport",5,5,4.97,"1.00000"
"GO:0035674","tricarboxylic acid transmembrane transport",1,1,0.99,"1.00000"
"GO:1905005","regulation of epithelial to mesenchymal transition involved in endocardial cushion formation",4,4,3.98,"1.00000"
"GO:0034086","maintenance of sister chromatid cohesion",13,13,12.92,"1.00000"
"GO:1903201","regulation of oxidative stress-induced cell death",63,63,62.61,"1.00000"
"GO:1903207","regulation of hydrogen peroxide-induced neuron death",5,5,4.97,"1.00000"
"GO:1903209","positive regulation of oxidative stress-induced cell death",19,19,18.88,"1.00000"
"GO:0045583","regulation of cytotoxic T cell differentiation",3,3,2.98,"1.00000"
"GO:0034014","response to triglyceride",1,1,0.99,"1.00000"
"GO:1903792","negative regulation of anion transport",27,27,26.83,"1.00000"
"GO:1903793","positive regulation of anion transport",45,45,44.72,"1.00000"
"GO:1903795","regulation of inorganic anion transmembrane transport",4,4,3.98,"1.00000"
"GO:1903796","negative regulation of inorganic anion transmembrane transport",1,1,0.99,"1.00000"
"GO:0035637","multicellular organismal signaling",65,65,64.6,"1.00000"
"GO:1903797","positive regulation of inorganic anion transmembrane transport",2,2,1.99,"1.00000"
"GO:0034030","ribonucleoside bisphosphate biosynthetic process",33,32,32.8,"1.00000"
"GO:0034031","ribonucleoside bisphosphate catabolic process",5,5,4.97,"1.00000"
"GO:0034032","purine nucleoside bisphosphate metabolic process",75,74,74.54,"1.00000"
"GO:0034033","purine nucleoside bisphosphate biosynthetic process",33,32,32.8,"1.00000"
"GO:0034034","purine nucleoside bisphosphate catabolic process",5,5,4.97,"1.00000"
"GO:0034035","purine ribonucleoside bisphosphate metabolic process",3,3,2.98,"1.00000"
"GO:0034036","purine ribonucleoside bisphosphate biosynthetic process",2,2,1.99,"1.00000"
"GO:0035601","protein deacylation",101,101,100.38,"1.00000"
"GO:0035608","protein deglutamylation",2,2,1.99,"1.00000"
"GO:1903750","regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide",4,4,3.98,"1.00000"
"GO:0015960","diadenosine polyphosphate biosynthetic process",3,3,2.98,"1.00000"
"GO:0015961","diadenosine polyphosphate catabolic process",3,3,2.98,"1.00000"
"GO:0015962","diadenosine triphosphate metabolic process",1,1,0.99,"1.00000"
"GO:0015965","diadenosine tetraphosphate metabolic process",3,3,2.98,"1.00000"
"GO:1903781","positive regulation of cardiac conduction",1,1,0.99,"1.00000"
"GO:1903789","regulation of amino acid transmembrane transport",12,12,11.93,"1.00000"
"GO:0015959","diadenosine polyphosphate metabolic process",6,6,5.96,"1.00000"
"GO:0098795","mRNA cleavage involved in gene silencing",2,2,1.99,"1.00000"
"GO:0015980","energy derivation by oxidation of organic compounds",204,203,202.74,"1.00000"
"GO:0015985","energy coupled proton transport, down electrochemical gradient",23,23,22.86,"1.00000"
"GO:0015988","energy coupled proton transmembrane transport, against electrochemical gradient",5,5,4.97,"1.00000"
"GO:1903722","regulation of centriole elongation",6,6,5.96,"1.00000"
"GO:1903726","negative regulation of phospholipid metabolic process",8,8,7.95,"1.00000"
"GO:1903727","positive regulation of phospholipid metabolic process",35,35,34.78,"1.00000"
"GO:1903729","regulation of plasma membrane organization",12,12,11.93,"1.00000"
"GO:0098760","response to interleukin-7",17,17,16.9,"1.00000"
"GO:1903719","regulation of I-kappaB phosphorylation",7,7,6.96,"1.00000"
"GO:0098762","meiotic cell cycle phase",6,6,5.96,"1.00000"
"GO:0098763","mitotic cell cycle phase",4,4,3.98,"1.00000"
"GO:0098764","meiosis I cell cycle phase",6,6,5.96,"1.00000"
"GO:1903742","regulation of anterograde synaptic vesicle transport",2,2,1.99,"1.00000"
"GO:1903747","regulation of establishment of protein localization to mitochondrion",20,20,19.88,"1.00000"
"GO:0015918","sterol transport",59,59,58.64,"1.00000"
"GO:0098751","bone cell development",29,29,28.82,"1.00000"
"GO:1903749","positive regulation of establishment of protein localization to mitochondrion",8,8,7.95,"1.00000"
"GO:0015919","peroxisomal membrane transport",18,18,17.89,"1.00000"
"GO:0044092","negative regulation of molecular function",735,728,730.48,"1.00000"
"GO:0044093","positive regulation of molecular function",1133,1121,1126.03,"1.00000"
"GO:0098754","detoxification",39,39,38.76,"1.00000"
"GO:0098758","response to interleukin-8",2,2,1.99,"1.00000"
"GO:0098781","ncRNA transcription",43,43,42.74,"1.00000"
"GO:0015931","nucleobase-containing compound transport",170,170,168.95,"1.00000"
"GO:0098771","inorganic ion homeostasis",484,474,481.02,"1.00000"
"GO:0044060","regulation of endocrine process",22,22,21.86,"1.00000"
"GO:0098722","asymmetric stem cell division",9,9,8.94,"1.00000"
"GO:0045655","regulation of monocyte differentiation",12,12,11.93,"1.00000"
"GO:0098728","germline stem cell asymmetric division",4,4,3.98,"1.00000"
"GO:0045658","regulation of neutrophil differentiation",4,4,3.98,"1.00000"
"GO:0044068","modulation by symbiont of host cellular process",16,14,15.9,"1.00000"
"GO:1903707","negative regulation of hemopoiesis",120,119,119.26,"1.00000"
"GO:1903708","positive regulation of hemopoiesis",179,179,177.9,"1.00000"
"GO:0098713","leucine import across plasma membrane",5,5,4.97,"1.00000"
"GO:0045683","negative regulation of epidermis development",8,8,7.95,"1.00000"
"GO:0045685","regulation of glial cell differentiation",55,55,54.66,"1.00000"
"GO:0044057","regulation of system process",363,362,360.77,"1.00000"
"GO:0098718","serine import across plasma membrane",1,1,0.99,"1.00000"
"GO:0044058","regulation of digestive system process",24,23,23.85,"1.00000"
"GO:0098743","cell aggregation",8,6,7.95,"1.00000"
"GO:0044085","cellular component biogenesis",2307,2293,2292.81,"1.00000"
"GO:0044087","regulation of cellular component biogenesis",765,758,760.29,"1.00000"
"GO:0055090","acylglycerol homeostasis",20,20,19.88,"1.00000"
"GO:0044088","regulation of vacuole organization",42,40,41.74,"1.00000"
"GO:0055094","response to lipoprotein particle",24,24,23.85,"1.00000"
"GO:0055095","lipoprotein particle mediated signaling",2,2,1.99,"1.00000"
"GO:0098732","macromolecule deacylation",101,101,100.38,"1.00000"
"GO:0045622","regulation of T-helper cell differentiation",27,27,26.83,"1.00000"
"GO:0045623","negative regulation of T-helper cell differentiation",15,15,14.91,"1.00000"
"GO:0098734","macromolecule depalmitoylation",9,9,8.94,"1.00000"
"GO:0045625","regulation of T-helper 1 cell differentiation",10,10,9.94,"1.00000"
"GO:0045628","regulation of T-helper 2 cell differentiation",12,12,11.93,"1.00000"
"GO:1903891","regulation of ATF6-mediated unfolded protein response",3,3,2.98,"1.00000"
"GO:1903897","regulation of PERK-mediated unfolded protein response",5,5,4.97,"1.00000"
"GO:0044028","DNA hypomethylation",2,2,1.99,"1.00000"
"GO:0044010","single-species biofilm formation",1,0,0.99,"1.00000"
"GO:0045643","regulation of eosinophil differentiation",1,1,0.99,"1.00000"
"GO:0045649","regulation of macrophage differentiation",17,17,16.9,"1.00000"
"GO:0055067","monovalent inorganic cation homeostasis",103,102,102.37,"1.00000"
"GO:0098700","neurotransmitter loading into synaptic vesicle",2,2,1.99,"1.00000"
"GO:0045631","regulation of mechanoreceptor differentiation",4,4,3.98,"1.00000"
"GO:0045632","negative regulation of mechanoreceptor differentiation",2,2,1.99,"1.00000"
"GO:0044042","glucan metabolic process",57,57,56.65,"1.00000"
"GO:0098704","carbohydrate import across plasma membrane",3,3,2.98,"1.00000"
"GO:0048934","peripheral nervous system neuron differentiation",4,4,3.98,"1.00000"
"GO:1903867","extraembryonic membrane development",8,8,7.95,"1.00000"
"GO:0055057","neuroblast division",14,14,13.91,"1.00000"
"GO:0044033","multi-organism metabolic process",1,1,0.99,"1.00000"
"GO:0044035","multi-organism catabolic process",1,1,0.99,"1.00000"
"GO:0044036","cell wall macromolecule metabolic process",1,1,0.99,"1.00000"
"GO:0055080","cation homeostasis",475,465,472.08,"1.00000"
"GO:0044038","cell wall macromolecule biosynthetic process",1,1,0.99,"1.00000"
"GO:0055081","anion homeostasis",42,42,41.74,"1.00000"
"GO:0055083","monovalent inorganic anion homeostasis",17,17,16.9,"1.00000"
"GO:0055086","nucleobase-containing small molecule metabolic process",389,386,386.61,"1.00000"
"GO:1903859","regulation of dendrite extension",22,22,21.86,"1.00000"
"GO:1903881","regulation of interleukin-17-mediated signaling pathway",1,1,0.99,"1.00000"
"GO:0055073","cadmium ion homeostasis",2,2,1.99,"1.00000"
"GO:1903884","regulation of chemokine (C-C motif) ligand 20 production",1,1,0.99,"1.00000"
"GO:0055076","transition metal ion homeostasis",95,88,94.42,"1.00000"
"GO:0055021","regulation of cardiac muscle tissue growth",52,52,51.68,"1.00000"
"GO:0055022","negative regulation of cardiac muscle tissue growth",23,23,22.86,"1.00000"
"GO:0055023","positive regulation of cardiac muscle tissue growth",27,27,26.83,"1.00000"
"GO:0055024","regulation of cardiac muscle tissue development",69,68,68.58,"1.00000"
"GO:0044003","modulation by symbiont of host process",24,22,23.85,"1.00000"
"GO:0055011","atrial cardiac muscle cell differentiation",1,1,0.99,"1.00000"
"GO:1903825","organic acid transmembrane transport",85,83,84.48,"1.00000"
"GO:1903826","arginine transmembrane transport",3,3,2.98,"1.00000"
"GO:1903817","negative regulation of voltage-gated potassium channel activity",5,5,4.97,"1.00000"
"GO:1903840","response to arsenite(3-)",1,1,0.99,"1.00000"
"GO:1903842","response to arsenite ion",4,4,3.98,"1.00000"
"GO:1903844","regulation of cellular response to transforming growth factor beta stimulus",84,84,83.48,"1.00000"
"GO:1903846","positive regulation of cellular response to transforming growth factor beta stimulus",25,25,24.85,"1.00000"
"GO:1903847","regulation of aorta morphogenesis",1,1,0.99,"1.00000"
"GO:2000395","regulation of ubiquitin-dependent endocytosis",1,1,0.99,"1.00000"
"GO:1903837","regulation of mRNA 3'-UTR binding",1,1,0.99,"1.00000"
"GO:2000398","regulation of thymocyte aggregation",1,1,0.99,"1.00000"
"GO:0098870","action potential propagation",5,5,4.97,"1.00000"
"GO:0098876","vesicle-mediated transport to the plasma membrane",82,82,81.5,"1.00000"
"GO:0098877","neurotransmitter receptor transport to plasma membrane",14,14,13.91,"1.00000"
"GO:0055002","striated muscle cell development",120,120,119.26,"1.00000"
"GO:0055006","cardiac cell development",68,68,67.58,"1.00000"
"GO:0098822","peptidyl-cysteine modification to L-cysteine persulfide",1,1,0.99,"1.00000"
"GO:2000361","regulation of prostaglandin-E synthase activity",2,2,1.99,"1.00000"
"GO:0098816","mini excitatory postsynaptic potential",3,3,2.98,"1.00000"
"GO:2000381","negative regulation of mesoderm development",2,2,1.99,"1.00000"
"GO:2000382","positive regulation of mesoderm development",3,3,2.98,"1.00000"
"GO:2000383","regulation of ectoderm development",2,2,1.99,"1.00000"
"GO:1905395","response to flavonoid",1,1,0.99,"1.00000"
"GO:2000387","regulation of antral ovarian follicle growth",1,1,0.99,"1.00000"
"GO:1905397","activated CD8-positive, alpha-beta T cell apoptotic process",2,2,1.99,"1.00000"
"GO:0098838","folate transmembrane transport",3,3,2.98,"1.00000"
"GO:2000371","regulation of DNA topoisomerase (ATP-hydrolyzing) activity",3,3,2.98,"1.00000"
"GO:1903593","regulation of histamine secretion by mast cell",2,2,1.99,"1.00000"
"GO:1903596","regulation of gap junction assembly",3,3,2.98,"1.00000"
"GO:2000322","regulation of glucocorticoid receptor signaling pathway",9,9,8.94,"1.00000"
"GO:2000328","regulation of T-helper 17 cell lineage commitment",1,1,0.99,"1.00000"
"GO:2000313","regulation of fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern fo...",2,2,1.99,"1.00000"
"GO:1905365","regulation of intralumenal vesicle formation",1,1,0.99,"1.00000"
"GO:0098801","regulation of renal system process",17,17,16.9,"1.00000"
"GO:2000319","regulation of T-helper 17 cell differentiation",10,10,9.94,"1.00000"
"GO:1903567","regulation of protein localization to ciliary membrane",2,2,1.99,"1.00000"
"GO:1905359","protein localization to meiotic spindle",1,1,0.99,"1.00000"
"GO:1905380","regulation of snRNA transcription by RNA polymerase II",3,3,2.98,"1.00000"
"GO:2000332","regulation of blood microparticle formation",2,2,1.99,"1.00000"
"GO:1905383","protein localization to presynapse",8,8,7.95,"1.00000"
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",100,99,99.38,"1.00000"
"GO:1903557","positive regulation of tumor necrosis factor superfamily cytokine production",52,52,51.68,"1.00000"
"GO:1905371","ceramide phosphoethanolamine metabolic process",2,2,1.99,"1.00000"
"GO:1903584","regulation of histone deubiquitination",1,1,0.99,"1.00000"
"GO:1903587","regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis",10,10,9.94,"1.00000"
"GO:0098596","imitative learning",4,4,3.98,"1.00000"
"GO:1903570","regulation of protein kinase D signaling",1,1,0.99,"1.00000"
"GO:1905320","regulation of mesenchymal stem cell migration",3,3,2.98,"1.00000"
"GO:0098598","learned vocalization behavior or vocal learning",5,5,4.97,"1.00000"
"GO:0035992","tendon formation",1,1,0.99,"1.00000"
"GO:1903576","response to L-arginine",2,2,1.99,"1.00000"
"GO:1905310","regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis",1,1,0.99,"1.00000"
"GO:0034390","smooth muscle cell apoptotic process",23,22,22.86,"1.00000"
"GO:0031099","regeneration",101,100,100.38,"1.00000"
"GO:1903521","positive regulation of mammary gland involution",4,4,3.98,"1.00000"
"GO:1903522","regulation of blood circulation",140,140,139.14,"1.00000"
"GO:0008652","cellular amino acid biosynthetic process",48,48,47.7,"1.00000"
"GO:0008653","lipopolysaccharide metabolic process",1,1,0.99,"1.00000"
"GO:1903524","positive regulation of blood circulation",44,44,43.73,"1.00000"
"GO:1905314","semi-lunar valve development",15,15,14.91,"1.00000"
"GO:1903525","regulation of membrane tubulation",4,4,3.98,"1.00000"
"GO:0008655","pyrimidine-containing compound salvage",1,1,0.99,"1.00000"
"GO:2000307","regulation of tumor necrosis factor (ligand) superfamily member 11 production",1,1,0.99,"1.00000"
"GO:0034398","telomere tethering at nuclear periphery",1,1,0.99,"1.00000"
"GO:1905319","mesenchymal stem cell migration",3,3,2.98,"1.00000"
"GO:1903510","mucopolysaccharide metabolic process",47,47,46.71,"1.00000"
"GO:1905340","regulation of protein localization to kinetochore",4,4,3.98,"1.00000"
"GO:1903513","endoplasmic reticulum to cytosol transport",26,26,25.84,"1.00000"
"GO:1903516","regulation of single strand break repair",2,2,1.99,"1.00000"
"GO:1903519","regulation of mammary gland involution",4,4,3.98,"1.00000"
"GO:1905330","regulation of morphogenesis of an epithelium",70,70,69.57,"1.00000"
"GO:1903541","regulation of exosomal secretion",16,16,15.9,"1.00000"
"GO:1905331","negative regulation of morphogenesis of an epithelium",12,12,11.93,"1.00000"
"GO:0035962","response to interleukin-13",3,3,2.98,"1.00000"
"GO:1905335","regulation of aggrephagy",2,2,1.99,"1.00000"
"GO:0035966","response to topologically incorrect protein",124,124,123.24,"1.00000"
"GO:0035967","cellular response to topologically incorrect protein",96,96,95.41,"1.00000"
"GO:1903530","regulation of secretion by cell",459,456,456.18,"1.00000"
"GO:1903532","positive regulation of secretion by cell",240,237,238.52,"1.00000"
"GO:2000492","regulation of interleukin-18-mediated signaling pathway",1,1,0.99,"1.00000"
"GO:1903537","meiotic cell cycle process involved in oocyte maturation",3,3,2.98,"1.00000"
"GO:0034367","protein-containing complex remodeling",13,13,12.92,"1.00000"
"GO:0034368","protein-lipid complex remodeling",11,11,10.93,"1.00000"
"GO:0031050","dsRNA processing",44,44,43.73,"1.00000"
"GO:0034369","plasma lipoprotein particle remodeling",11,11,10.93,"1.00000"
"GO:0098581","detection of external biotic stimulus",21,21,20.87,"1.00000"
"GO:0031055","chromatin remodeling at centromere",10,10,9.94,"1.00000"
"GO:0031057","negative regulation of histone modification",40,39,39.75,"1.00000"
"GO:0034350","regulation of glial cell apoptotic process",10,10,9.94,"1.00000"
"GO:0035983","response to trichostatin A",3,3,2.98,"1.00000"
"GO:0008614","pyridoxine metabolic process",1,1,0.99,"1.00000"
"GO:1905301","regulation of macropinocytosis",2,2,1.99,"1.00000"
"GO:1905304","regulation of cardiac myofibril assembly",1,1,0.99,"1.00000"
"GO:0008645","hexose transmembrane transport",80,80,79.51,"1.00000"
"GO:0035977","protein deglycosylation involved in glycoprotein catabolic process",4,4,3.98,"1.00000"
"GO:1905309","positive regulation of cohesin loading",1,1,0.99,"1.00000"
"GO:0034370","triglyceride-rich lipoprotein particle remodeling",2,2,1.99,"1.00000"
"GO:0098528","skeletal muscle fiber differentiation",1,1,0.99,"1.00000"
"GO:1903504","regulation of mitotic spindle checkpoint",13,13,12.92,"1.00000"
"GO:0035927","RNA import into mitochondrion",4,4,3.98,"1.00000"
"GO:1903508","positive regulation of nucleic acid-templated transcription",1110,1104,1103.17,"1.00000"
"GO:2000468","regulation of peroxidase activity",4,3,3.98,"1.00000"
"GO:1903509","liposaccharide metabolic process",69,69,68.58,"1.00000"
